Failure Type,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
1,1,7003,2,298.1,308.6,1551,42.8,0,0
1,2,1003,1,298.2,308.7,1408,46.3,3,0
1,3,1004,1,298.1,308.5,1498,49.4,5,0
1,4,1005,1,298.2,308.6,1433,39.5,7,0
1,5,1006,1,298.2,308.7,1408,40.0,9,0
1,6,7004,2,298.1,308.6,1425,41.9,11,0
1,7,1007,1,298.1,308.6,1558,42.4,14,0
1,8,1008,1,298.1,308.6,1527,40.2,16,0
1,9,7005,2,298.3,308.7,1667,28.6,18,0
1,10,7006,2,298.5,309.0,1741,28.0,21,0
1,11,0,0,298.4,308.9,1782,23.9,24,0
1,12,1,0,298.6,309.1,1423,44.3,29,0
1,13,7007,2,298.6,309.1,1339,51.1,34,0
1,14,7008,2,298.6,309.2,1742,30.0,37,0
1,15,1009,1,298.6,309.2,2035,19.6,40,0
1,16,1010,1,298.6,309.2,1542,48.4,42,0
1,17,7009,2,298.6,309.2,1311,46.6,44,0
1,18,7010,2,298.7,309.2,1410,45.6,47,0
1,19,2,0,298.8,309.2,1306,54.5,50,0
1,20,7011,2,298.9,309.3,1632,32.5,55,0
1,21,3,0,298.9,309.3,1375,42.7,58,0
1,22,1011,1,298.8,309.3,1450,44.8,63,0
1,23,7012,2,298.9,309.3,1581,30.7,65,0
1,24,1012,1,299.0,309.4,1758,25.7,68,0
1,25,7013,2,299.0,309.4,1561,37.3,70,0
1,26,1013,1,299.0,309.5,1861,23.3,73,0
1,27,1014,1,299.1,309.5,1512,39.0,75,0
1,28,4,0,299.1,309.4,1811,24.6,77,0
1,29,1015,1,299.1,309.4,1439,44.2,82,0
1,30,1016,1,299.0,309.4,1693,30.1,84,0
1,31,7014,2,299.1,309.5,1339,48.2,86,0
1,32,1017,1,299.0,309.4,1798,25.5,89,0
1,33,1018,1,299.0,309.4,1419,48.3,91,0
1,34,1019,1,298.9,309.3,1665,32.5,93,0
1,35,7015,2,298.8,309.1,1559,34.7,95,0
1,36,7016,2,298.8,309.2,1452,48.6,98,0
1,37,7017,2,298.9,309.2,1581,36.7,101,0
1,38,1020,1,298.8,309.1,1439,39.2,104,0
1,39,5,0,298.9,309.2,1379,50.7,106,0
1,40,1021,1,298.8,309.1,1350,52.5,111,0
1,41,1022,1,298.8,309.1,1362,45.4,113,0
1,42,1023,1,298.8,309.1,1368,50.8,115,0
1,43,7018,2,298.8,309.1,1368,49.1,117,0
1,44,6,0,298.8,309.2,1372,48.5,120,0
1,45,7019,2,298.8,309.1,1472,47.5,125,0
1,46,1024,1,298.8,309.1,1489,49.1,128,0
1,47,7020,2,298.7,309.0,1843,25.8,130,0
1,48,1025,1,298.8,309.1,1418,46.3,133,0
1,49,7,0,298.8,309.2,1425,53.9,135,0
1,50,7021,2,298.9,309.2,1412,44.1,140,0
3,51,1026,1,298.9,309.1,2861,4.6,143,1
1,52,1027,1,298.9,309.1,1383,54.9,145,0
1,53,8,0,298.8,309.0,1497,43.8,147,0
1,54,1028,1,298.7,309.0,1565,35.1,152,0
1,55,1029,1,298.7,309.0,1691,30.1,154,0
1,56,1030,1,298.8,309.1,1512,40.7,156,0
1,57,1031,1,298.8,309.1,1477,42.4,158,0
1,58,1032,1,298.8,309.1,1513,40.3,160,0
1,59,7022,2,298.8,309.0,1661,29.5,162,0
1,60,1033,1,298.8,309.1,1378,54.4,165,0
1,61,1034,1,298.8,309.1,1393,52.6,167,0
1,62,7023,2,298.8,309.0,1592,38.2,169,0
1,63,1035,1,298.8,309.0,1829,22.9,172,0
1,64,7024,2,298.9,309.0,1812,25.9,174,0
1,65,1036,1,299.0,309.1,1523,38.6,177,0
1,66,1037,1,299.0,309.1,1394,45.1,179,0
1,67,7025,2,298.9,308.9,1679,28.7,181,0
1,68,9,0,298.8,308.9,1466,44.1,184,0
1,69,1038,1,298.8,308.9,1527,32.4,189,0
3,70,1039,1,298.9,309.0,1410,65.7,191,1
1,71,7026,2,298.9,309.0,1924,22.6,193,0
1,72,1040,1,298.9,309.1,1452,45.5,196,0
1,73,1041,1,298.9,309.1,1369,44.4,198,0
1,74,1042,1,299.0,309.1,1592,35.0,200,0
1,75,1043,1,298.9,309.0,1601,32.3,202,0
1,76,1044,1,298.8,308.9,1379,46.7,204,0
1,79,1047,1,298.8,308.9,1398,51.5,0,0
1,80,1048,1,298.8,308.9,1402,37.9,2,0
1,81,10,0,298.8,308.8,1445,49.9,4,0
1,82,1049,1,298.9,308.9,1450,47.5,9,0
1,83,1050,1,298.9,308.9,1453,40.8,11,0
1,84,1051,1,299.0,309.0,1469,40.1,13,0
1,85,1052,1,298.9,308.9,1422,47.6,15,0
1,86,7027,2,299.0,309.0,1804,26.8,17,0
1,87,11,0,299.0,309.0,1436,43.9,20,0
1,88,1053,1,299.0,309.0,1544,31.8,25,0
1,89,7028,2,299.0,309.0,1419,45.2,27,0
1,90,7029,2,298.9,308.9,1487,39.5,30,0
1,91,1054,1,298.9,308.9,1753,25.8,33,0
1,92,1055,1,298.9,308.9,1830,24.9,35,0
1,93,7030,2,298.9,308.9,1727,27.1,37,0
1,94,1056,1,299.1,309.0,1450,43.0,40,0
1,95,1057,1,299.0,308.9,1622,31.9,42,0
1,96,7031,2,299.0,309.0,1351,52.2,44,0
1,97,7032,2,299.0,309.0,1575,35.3,47,0
1,98,7033,2,298.9,308.9,1750,29.9,50,0
1,99,1058,1,298.9,308.8,1529,32.7,53,0
1,100,1059,1,298.8,308.8,1523,44.4,55,0
1,101,1060,1,298.8,308.9,1852,25.0,57,0
1,102,1061,1,298.8,308.8,1991,20.7,59,0
1,103,1062,1,298.8,308.8,1555,40.6,61,0
1,104,7034,2,298.8,308.8,1441,40.5,63,0
1,105,1063,1,298.8,308.7,1450,43.4,66,0
1,106,1064,1,298.8,308.7,1591,31.1,68,0
1,107,1065,1,298.8,308.7,1445,48.5,70,0
1,108,7035,2,298.8,308.8,1497,46.8,72,0
1,109,12,0,298.9,308.8,1621,32.7,75,0
1,110,1066,1,298.9,308.7,1572,34.1,80,0
1,111,1067,1,298.8,308.6,1872,22.5,82,0
1,112,13,0,298.7,308.6,1499,43.5,84,0
1,113,7036,2,298.8,308.7,1498,39.5,89,0
1,114,7037,2,298.8,308.6,1486,41.9,92,0
1,115,1068,1,298.8,308.6,1680,29.4,95,0
1,116,1069,1,298.8,308.6,1431,45.7,97,0
1,117,1070,1,298.9,308.7,1564,34.1,99,0
1,118,1071,1,298.8,308.6,1599,33.0,101,0
1,119,7038,2,298.8,308.6,1707,28.1,103,0
1,120,1072,1,298.7,308.5,1467,40.7,106,0
1,121,1073,1,298.9,308.7,1433,44.7,108,0
1,122,1074,1,298.9,308.7,1558,41.2,110,0
1,123,1075,1,299.0,308.8,1310,50.7,112,0
1,124,1076,1,298.9,308.7,1546,43.4,114,0
1,125,1077,1,298.9,308.7,1727,29.4,116,0
1,126,1078,1,298.9,308.6,1560,32.2,118,0
1,127,1079,1,299.0,308.6,1329,60.5,120,0
1,128,1080,1,298.9,308.6,1413,46.5,122,0
1,129,1081,1,299.0,308.6,1587,38.6,124,0
1,130,1082,1,298.9,308.5,1559,34.3,126,0
1,131,1083,1,298.8,308.4,1473,41.1,128,0
1,132,1084,1,298.8,308.4,1737,27.7,130,0
1,133,7039,2,298.7,308.4,1441,43.2,132,0
1,134,7040,2,298.7,308.4,1430,49.6,135,0
1,135,1085,1,298.8,308.4,1369,53.0,138,0
1,136,7041,2,298.8,308.5,1711,28.5,140,0
1,137,14,0,298.7,308.5,1420,45.7,143,0
1,138,1086,1,298.7,308.6,1297,55.3,148,0
1,139,15,0,298.8,308.6,1449,49.4,150,0
1,140,1087,1,298.8,308.6,1268,55.8,155,0
1,141,1088,1,298.8,308.6,1511,36.1,157,0
1,142,1089,1,298.7,308.5,1544,35.2,159,0
1,143,7042,2,298.6,308.4,1778,28.2,161,0
1,144,16,0,298.6,308.4,1407,50.5,164,0
1,145,7043,2,298.6,308.4,1391,42.4,169,0
1,146,1090,1,298.5,308.4,1513,33.6,172,0
1,147,17,0,298.5,308.4,1612,36.1,174,0
1,148,1091,1,298.4,308.4,1515,40.1,179,0
1,149,7044,2,298.3,308.3,1379,48.0,181,0
1,150,1092,1,298.4,308.3,1473,39.9,184,0
1,151,1093,1,298.4,308.3,1422,42.7,186,0
1,152,7045,2,298.4,308.2,1463,37.6,188,0
1,153,7046,2,298.4,308.2,1584,41.0,191,0
1,154,1094,1,298.4,308.2,1850,27.0,194,0
1,155,1095,1,298.4,308.2,1528,36.2,196,0
1,156,18,0,298.4,308.2,1987,19.8,198,0
1,157,7047,2,298.4,308.1,1495,46.0,203,0
1,158,19,0,298.4,308.2,1478,43.5,206,0
1,159,7048,2,298.4,308.2,1499,40.0,211,0
1,160,1096,1,298.4,308.2,1471,47.0,214,0
2,161,1097,1,298.4,308.2,1282,60.7,216,1
2,162,1098,1,298.3,308.1,1412,52.3,218,1
1,163,1099,1,298.3,308.1,1586,35.5,0,0
1,164,7049,2,298.4,308.2,1468,43.8,2,0
1,165,7050,2,298.5,308.3,1440,43.6,5,0
1,166,1100,1,298.5,308.4,1733,26.0,8,0
1,167,20,0,298.4,308.2,1612,32.6,10,0
1,168,21,0,298.4,308.3,1458,42.9,15,0
3,169,1101,1,298.4,308.3,1433,62.3,20,1
1,170,1102,1,298.4,308.3,1318,59.1,22,0
1,171,7051,2,298.4,308.2,1610,35.0,24,0
1,172,1103,1,298.2,308.1,1462,50.8,27,0
1,173,7052,2,298.1,308.0,1924,20.8,29,0
1,174,7053,2,298.2,308.0,1591,33.7,32,0
1,175,1104,1,298.2,308.1,1306,58.3,35,0
1,176,1105,1,298.2,308.1,1382,43.5,37,0
1,177,1106,1,298.2,308.1,1618,34.7,39,0
1,178,1107,1,298.2,308.2,1988,21.4,41,0
1,179,1108,1,298.2,308.2,1436,50.2,43,0
1,180,1109,1,298.2,308.3,1304,49.8,45,0
1,181,1110,1,298.2,308.3,1475,49.9,47,0
1,182,22,0,298.2,308.3,1824,24.2,49,0
1,183,7054,2,298.1,308.2,1342,48.1,54,0
1,184,1111,1,298.1,308.2,1485,40.7,57,0
1,185,1112,1,298.2,308.2,1667,30.6,59,0
1,186,1113,1,298.2,308.2,1446,38.2,61,0
1,187,1114,1,298.1,308.3,1301,56.0,63,0
1,188,1115,1,298.2,308.4,1379,43.1,65,0
1,189,1116,1,298.3,308.5,1606,33.6,67,0
1,190,7055,2,298.3,308.4,1539,43.4,69,0
1,191,1117,1,298.2,308.4,1477,49.9,72,0
1,192,1118,1,298.2,308.4,1666,34.6,74,0
1,193,23,0,298.2,308.4,1398,51.8,76,0
1,194,24,0,298.2,308.4,1678,34.6,81,0
3,195,7056,2,298.2,308.5,2678,10.7,86,1
1,196,1119,1,298.3,308.5,1453,42.9,89,0
1,197,25,0,298.3,308.6,1432,49.5,91,0
1,198,7057,2,298.4,308.6,1527,40.9,96,0
1,199,1120,1,298.4,308.7,1588,35.0,99,0
1,200,1121,1,298.4,308.6,1433,47.1,101,0
1,201,1122,1,298.4,308.6,1609,35.0,103,0
1,202,1123,1,298.3,308.5,1575,41.2,105,0
1,204,1124,1,298.4,308.5,1490,37.9,110,0
1,205,1125,1,298.4,308.5,1741,32.8,112,0
1,206,7059,2,298.5,308.6,1344,53.0,114,0
1,207,1126,1,298.5,308.7,1609,35.3,117,0
3,208,7060,2,298.4,308.7,1421,60.7,119,1
1,209,1127,1,298.4,308.6,1591,36.7,122,0
1,210,1128,1,298.4,308.6,1477,44.0,124,0
1,211,1129,1,298.4,308.7,1523,36.1,126,0
1,212,1130,1,298.5,308.7,1575,33.9,128,0
1,213,26,0,298.4,308.7,1344,52.9,130,0
1,214,1131,1,298.4,308.7,1386,44.9,135,0
1,215,7061,2,298.3,308.6,1589,37.1,137,0
1,216,1132,1,298.3,308.6,1548,40.3,140,0
1,217,1133,1,298.3,308.6,1499,38.3,142,0
1,218,1134,1,298.3,308.5,1664,31.6,144,0
1,219,1135,1,298.3,308.6,1447,38.1,146,0
1,220,7062,2,298.3,308.5,1434,46.2,148,0
1,222,27,0,298.4,308.5,1827,24.3,153,0
1,223,1137,1,298.4,308.6,1304,45.0,158,0
1,224,1138,1,298.4,308.6,1569,34.4,160,0
1,225,1139,1,298.3,308.6,1584,29.3,162,0
1,227,1141,1,298.3,308.4,1329,49.2,166,0
1,228,1142,1,298.3,308.5,1539,36.1,168,0
1,229,7063,2,298.3,308.5,1629,37.1,170,0
1,230,1143,1,298.3,308.5,1538,32.2,173,0
1,231,1144,1,298.3,308.6,1570,34.8,175,0
1,232,1145,1,298.3,308.4,1408,43.1,177,0
1,233,1146,1,298.2,308.4,1424,47.6,179,0
1,234,1147,1,298.2,308.4,1512,34.9,181,0
1,235,1148,1,298.2,308.4,1478,42.9,183,0
1,236,7064,2,298.1,308.3,1680,33.7,185,0
1,237,1149,1,298.1,308.3,1495,38.7,188,0
1,238,7065,2,298.0,308.1,1552,36.6,190,0
1,239,1150,1,297.9,308.1,1393,50.3,193,0
1,240,1151,1,298.0,308.2,1611,30.6,195,0
1,241,7066,2,298.0,308.1,1339,51.6,197,0
1,242,1152,1,298.0,308.1,1777,24.3,200,0
2,243,1153,1,298.0,308.2,1348,58.8,202,1
1,244,1154,1,298.0,308.2,1442,44.1,204,0
1,245,7067,2,298.0,308.2,1395,49.1,206,0
1,246,7068,2,297.9,308.1,1627,31.4,209,0
1,247,1155,1,297.9,308.1,1585,33.5,212,0
1,248,1156,1,298.0,308.2,1469,45.5,214,0
2,249,1157,1,298.0,308.3,1362,56.8,216,1
2,250,1158,1,298.0,308.3,1405,56.2,218,1
1,251,1159,1,298.0,308.3,1662,32.7,0,0
1,252,7069,2,298.0,308.2,1466,42.6,2,0
1,253,1160,1,298.0,308.2,1620,35.8,5,0
1,254,1161,1,298.0,308.2,1357,48.2,7,0
1,255,1162,1,298.0,308.2,1514,37.9,9,0
1,256,1163,1,298.0,308.2,1489,40.4,11,0
1,257,1164,1,298.1,308.3,1331,63.0,13,0
1,258,1165,1,298.0,308.0,1615,29.5,15,0
1,259,1166,1,298.1,308.2,1482,37.9,17,0
3,260,7070,2,298.1,308.2,1420,63.9,19,1
1,262,1167,1,298.1,308.2,1654,32.1,25,0
1,263,7072,2,298.1,308.2,1736,26.8,27,0
1,264,7073,2,298.0,308.1,1587,32.3,30,0
1,265,1168,1,298.1,308.2,1390,47.5,33,0
1,266,1169,1,298.0,308.1,1454,37.1,35,0
1,267,28,0,298.0,308.1,1440,43.7,37,0
1,268,1170,1,297.9,308.0,1954,21.1,42,0
1,269,29,0,297.9,308.0,1800,24.8,44,0
1,270,1171,1,298.0,308.0,1524,37.0,49,0
1,271,30,0,298.0,308.0,1520,39.6,51,0
1,272,7074,2,298.1,308.1,1452,40.8,56,0
1,273,1172,1,298.1,308.1,1484,40.4,59,0
1,274,1173,1,298.1,308.0,1426,46.0,61,0
1,275,1174,1,298.1,308.0,1652,28.5,63,0
1,276,1175,1,298.0,308.0,1401,54.7,65,0
1,277,7075,2,298.0,307.9,1750,26.6,67,0
1,278,31,0,298.0,308.0,1479,50.7,70,0
1,279,7076,2,298.0,308.0,1620,29.4,75,0
1,280,1176,1,298.0,308.1,1819,23.4,78,0
1,281,7077,2,298.1,308.1,1456,43.7,80,0
1,282,1177,1,298.1,308.0,1626,36.5,83,0
1,283,7078,2,298.1,308.1,1390,49.8,85,0
1,284,1178,1,298.2,308.2,1469,43.0,88,0
1,285,1179,1,298.2,308.3,2051,19.2,90,0
1,286,1180,1,298.2,308.3,1568,36.0,92,0
1,287,1181,1,298.2,308.3,1589,33.2,94,0
1,288,1182,1,298.2,308.3,1805,31.6,96,0
1,289,32,0,298.2,308.4,1385,42.2,98,0
1,290,1183,1,298.1,308.4,1436,46.7,103,0
1,291,1184,1,298.1,308.4,1438,45.6,105,0
1,292,1185,1,298.0,308.3,1473,42.6,107,0
1,293,1186,1,298.1,308.4,1335,40.2,109,0
1,294,33,0,298.1,308.5,1392,44.8,111,0
1,295,7079,2,298.1,308.5,1372,51.1,116,0
1,296,7080,2,298.1,308.6,1716,30.7,119,0
1,297,1187,1,298.0,308.5,1395,46.2,122,0
1,298,1188,1,298.0,308.5,1713,25.3,124,0
1,299,34,0,297.9,308.5,2129,18.7,126,0
1,300,7081,2,297.8,308.3,1567,35.6,131,0
1,301,1189,1,297.8,308.4,1622,38.3,134,0
1,302,1190,1,297.7,308.4,1740,27.1,136,0
1,303,35,0,297.8,308.4,1512,35.1,138,0
1,304,7082,2,297.8,308.4,1479,43.5,143,0
1,305,1191,1,297.8,308.4,1737,27.5,146,0
1,306,1192,1,297.8,308.4,2129,19.2,148,0
1,307,1193,1,297.8,308.4,1374,47.1,150,0
1,308,7083,2,297.8,308.4,1579,36.6,152,0
1,309,1194,1,297.9,308.5,1305,47.2,155,0
1,310,7084,2,297.9,308.5,1449,40.8,157,0
1,311,36,0,298.0,308.6,1526,41.8,160,0
1,312,7085,2,298.0,308.6,1453,44.1,165,0
1,313,1195,1,297.9,308.6,1468,36.0,168,0
1,314,1196,1,298.0,308.6,1313,50.8,170,0
1,315,7086,2,297.9,308.5,1300,53.0,172,0
1,316,1197,1,297.9,308.4,1646,40.6,175,0
1,317,1198,1,297.8,308.4,1714,33.2,177,0
1,318,1199,1,297.8,308.4,1685,28.4,179,0
1,319,1200,1,297.8,308.4,1512,39.9,181,0
1,320,1201,1,297.8,308.4,1612,32.1,183,0
1,321,37,0,297.8,308.4,1550,38.2,185,0
1,322,1202,1,297.8,308.4,1518,32.5,190,0
